[Mon Jan 13 16:29:37 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:32:34 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:32:35 2025] >> ... 	>>> ~A7                                                          	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:32:36 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:32:36 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:32:37 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:32:38 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:32:39 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:32:40 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:32:40 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:32:41 2025] >> ... 	>>> A4 & B7 & ~A5                                                	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:32:42 2025] >> ... 	>>> (A0 & ~A7) | (A4 & ~A7) | (A6 & ~A7)                         	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:32:43 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:32:43 2025] >> ... 	>>> (A0 & ~A6 & ~B1) | (A4 & ~A6 & ~B1)                          	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:32:44 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:32:45 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:32:46 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:32:46 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:32:47 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:32:48 2025] >> ... 	>>> B7 & ~A6                                                     	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:32:49 2025] >> ... 	>>> ~A7                                                          	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:32:50 2025] >> ... 	>>> ~A7                                                          	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:32:50 2025] >> ... 	>>> ~A7                                                          	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:32:51 2025] >> ... 	>>> ~A7                                                          	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:32:52 2025] >> ... 	>>> ~A7                                                          	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:32:53 2025] >> ... 	>>> ~A7                                                          	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:32:53 2025] >> ... 	>>> ~A7                                                          	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:32:54 2025] >> ... 	>>> (B7 & ~A7) | (A0 & ~A4 & ~A7)                                	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:32:55 2025] >> ... 	>>> B0 & ~B1                                                     	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:32:56 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:32:57 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:32:58 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:32:59 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:32:59 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:33:00 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:33:01 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:33:02 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:33:03 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:33:04 2025] >> ... 	>>> A4 & B5 & ~A0 & ~B1                                          	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:33:04 2025] >> ... 	>>> (A0 & B6 & ~B1) | (A4 & B6 & ~B1)                            	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:33:05 2025] >> ... 	>>> B7 & ~B1                                                     	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:33:06 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:33:07 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:33:08 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:33:09 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:33:10 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:33:10 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:33:11 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:33:12 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:33:13 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:33:14 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:33:15 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:33:16 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:33:16 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:33:17 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:33:18 2025] >> ... 	>>> (B6 & ~A4 & ~B7) | (B7 & ~A4 & ~B6)                          	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:33:19 2025] >> ... 	>>> (A5 & ~A7) | (A6 & ~A7)                                      	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:33:20 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:33:21 2025] >> ... 	>>> A5 & ~A6 & ~B1                                               	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:33:21 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:33:22 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:33:23 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:33:24 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:33:25 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:33:25 2025] >> ... 	>>> B7 & ~A6                                                     	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:33:26 2025] >> ... 	>>> ~A7                                                          	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:33:27 2025] >> ... 	>>> ~A7                                                          	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:33:28 2025] >> ... 	>>> ~A7                                                          	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:33:29 2025] >> ... 	>>> ~A7                                                          	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:33:29 2025] >> ... 	>>> ~A7                                                          	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:33:30 2025] >> ... 	>>> ~A7                                                          	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:33:31 2025] >> ... 	>>> ~A7                                                          	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:33:32 2025] >> ... 	>>> (B7 & ~A7) | (A0 & ~A5 & ~A7)                                	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:33:33 2025] >> ... 	>>> A5 & B0 & ~B1                                                	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:33:33 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:33:34 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:33:35 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:33:36 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:33:37 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:33:38 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:33:39 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:33:39 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:33:40 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:33:41 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:33:42 2025] >> ... 	>>> A5 & B6 & ~B1                                                	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:33:43 2025] >> ... 	>>> B7 & ~A5 & ~B1                                               	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:33:44 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:33:45 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:33:46 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:33:46 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:33:47 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:33:48 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:33:49 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:33:50 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:33:51 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:33:52 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:33:53 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:33:54 2025] >> ... 	>>> A0 & B7 & ~A5 & ~B4                                          	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:33:54 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:33:55 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:33:56 2025] >> ... 	>>> (B6 & ~A5 & ~B7) | (B7 & ~A5 & ~B6)                          	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:33:57 2025] >> ... 	>>> (A6 & ~A7) | (B0 & ~A7)                                      	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:33:58 2025] >> ... 	>>> (A6 & ~A7) | (~A7 & ~B1)                                     	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:33:59 2025] >> ... 	>>> ~A7                                                          	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:34:00 2025] >> ... 	>>> ~A7                                                          	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:34:00 2025] >> ... 	>>> ~A7                                                          	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:34:01 2025] >> ... 	>>> ~A7                                                          	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:34:02 2025] >> ... 	>>> ~A7                                                          	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:34:03 2025] >> ... 	>>> (A6 & ~A7) | (B7 & ~A7)                                      	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:34:04 2025] >> ... 	>>> (B0 & ~A0 & ~B1) | (B0 & ~A6 & ~B1)                          	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:34:05 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:34:05 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:34:06 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:34:07 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:34:08 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:34:09 2025] >> ... 	>>> B7 & ~A6                                                     	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:34:10 2025] >> ... 	>>> ~A6 & ~B1                                                    	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:34:11 2025] >> ... 	>>> ~A6 & ~B1                                                    	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:34:12 2025] >> ... 	>>> ~A6 & ~B1                                                    	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:34:12 2025] >> ... 	>>> ~A6 & ~B1                                                    	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:34:13 2025] >> ... 	>>> (~A6 & ~B1) | (B6 & ~A0 & ~B1)                               	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:34:14 2025] >> ... 	>>> B7 & ~A6 & ~B1                                               	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:34:15 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:34:16 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:34:17 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:34:18 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:34:19 2025] >> ... 	>>> B7 & ~A6                                                     	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:34:20 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:34:21 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:34:22 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:34:23 2025] >> ... 	>>> B7 & ~A6                                                     	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:34:24 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:34:25 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:34:26 2025] >> ... 	>>> B7 & ~A6                                                     	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:34:26 2025] >> ... 	>>> A0 & B5 & B6 & ~A6                                           	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:34:27 2025] >> ... 	>>> B7 & ~A6 & ~B5                                               	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:34:28 2025] >> ... 	>>> (B7 & ~A6 & ~B6) | (A0 & B6 & ~A6 & ~B7)                     	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:34:29 2025] >> ... 	>>> ~A7                                                          	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:34:30 2025] >> ... 	>>> ~A7                                                          	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:34:31 2025] >> ... 	>>> ~A7                                                          	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:34:32 2025] >> ... 	>>> ~A7                                                          	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:34:33 2025] >> ... 	>>> ~A7                                                          	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:34:34 2025] >> ... 	>>> ~A7                                                          	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:34:35 2025] >> ... 	>>> (B0 & ~A7) | (B7 & ~A7)                                      	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:34:36 2025] >> ... 	>>> ~A7                                                          	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:34:36 2025] >> ... 	>>> ~A7                                                          	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:34:37 2025] >> ... 	>>> ~A7                                                          	>>> 0 [106, 189] 	[EQ in Cache]
